homelat,homelon,type,n
17.1427,77.1749,Coal,38.5
28.6361,77.2542,Coal,135
24.7635,78.2322,Hydro,45
29.356,75.869,Coal,1200
24.9643,74.1197,Coal,160
30.557,76.577,Coal,1400
12.7145,77.4524,Biomass,11
29.5169,78.7574,Hydro,198
27.336,70.538,Gas,270.5
27.114,88.1376,Hydro,50
31.4,77.5927,Hydro,412.02
27.3426,93.8168,Hydro,405
27.2949,88.2921,Hydro,60
18.5354,76.245,Biomass,12.5
32.4404,75.7305,Hydro,600
26.263,74.1878,Coal,36
22.3404,82.493,Coal,100
17.5587,73.167,Gas,1967.08
14.704,78.4577,Coal,1650
15.3771,73.877,Gas,48
21.2759,85.0355,Hydro,250
24.027,82.7915,Coal,3000
24.1778,83.0361,Hydro,300
28.7327,77.1016,Gas,94.8
25.1732,75.832,Hydro,6
23.626,91.1948,Gas,63
31.0417,76.5847,Coal,1260
27.818,79.936,Coal,1200
18.7695,79.4494,Coal,62.5
18.7572,79.456,Coal,2600
23.9637,76.719,Solar,50
23.9796,76.7329,Solar,16.5
25.4106,78.4805,Solar,2
29.9619,75.1631,Solar,10
18.764,79.4873,Solar,10
23.2592,70.0097,Solar,5
27.9363,75.679,Solar,1
26.8026,70.7736,Wind,26.4
27.4108,72.2164,Solar,5
27.4118,72.2127,Solar,5
27.4092,72.2193,Solar,5
27.4137,72.1577,Solar,50
26.4586,72.4706,Wind,6
19.1474,74.8763,Wind,50.4
23.7025,75.9246,Solar,30.5
23.0562,70.6004,Wind,35.1
21.8376,73.7559,Hydro,250
21.8301,73.7501,Hydro,1200
9.3098,77.0727,Hydro,300
24.3696,88.1046,Coal,1600
17.708,75.1361,Biomass,18
33.142,74.8097,Hydro,690
22.3049,69.7101,Coal,1200
22.49,82.6062,Coal,135
12.2995,78.4038,Oil,105.7
9.9751,78.0445,Oil,106
16.3918,75.0411,Biomass,24
17.1354,74.4272,Biomass,19.7
16.9171,74.4821,Biomass,10
16.881,74.5898,Biomass,12.5
31.2642,78.4835,Hydro,120
23.3026,81.0668,Coal,1340
16.2478,74.5003,Biomass,26
23.6013,86.4666,Coal,500
10.4558,76.8302,Hydro,30
23.9784,82.6275,Coal,3960
24.5959,80.858,Coal,29
22.11,78.173,Coal,1330
19.6125,74.1924,Biomass,16
22.7355,79.9123,Coal,600
14.351,80.1443,Coal,1320
9.976,77.0309,Hydro,48
8.6895,77.3048,Hydro,20
32.6762,75.8215,Hydro,120
32.6029,75.9006,Hydro,9
31.9894,76.8072,Hydro,110
14.2352,74.7673,Hydro,1035
14.2352,74.7673,Hydro,240
12.3409,77.1906,Hydro,17.2
16.7493,74.5854,Biomass,36
10.3046,76.7305,Hydro,54
10.3575,76.879,Hydro,95
26.0743,74.3858,Coal,300
15.6933,74.7162,Biomass,22
17.8676,74.8405,Biomass,20
25.1296,75.8832,Coal,40
21.127,74.2673,Wind,33.6
22.4208,69.8276,Coal,500
17.591,83.0917,Coal,2000
14.2133,80.0838,Coal,600
18.8372,79.5748,Coal,1200
24.1033,82.7068,Coal,2000
18.6609,78.0876,Hydro,15
22.13,82.293,Coal,2980
16.8301,80.0407,Coal,43
12.3082,77.165,Hydro,42
31.7537,77.246,Coal,660
19.3804,74.8397,Biomass,16
22.5488,88.2926,Coal,135
30.2313,78.7924,Hydro,330
16.0869,78.9007,Hydro,770
16.0929,78.9118,Hydro,900
33.9594,77.7142,Hydro,4
21.8144,84.0404,Coal,600
23.457,85.555,Hydro,130
21.3395,72.9889,Gas,1147.5
21.397,73.106,Coal,500
29.179,74.0202,Coal,1500
9.62,77.2726,Hydro,35
19.9214,73.0575,Hydro,6
22.2915,82.5257,Coal,63
22.3005,82.7047,Coal,25
8.823,77.6271,Wind,10.5
10.8166,77.3199,Wind,21
9.0782,77.591,Wind,10.5
20.731,83.4538,Solar,5
20.7325,83.4632,Solar,1
10.9262,77.3841,Wind,1.5
21.0726,74.3862,Solar,100
21.0864,74.3529,Solar,25
29.9611,75.7767,Solar,10
17.2387,73.9096,Wind,100
20.8183,71.0063,Solar,10
17.4999,75.781,Solar,8.5
12.3003,77.1638,Solar,5
23.3585,70.6206,Solar,5
23.383,70.6146,Solar,5
23.3654,70.6268,Solar,5
19.845,73.9074,Wind,10.5
17.3031,74.631,Wind,16.5
17.5724,74.3386,Wind,2.25
22.0971,76.5317,Coal,1200
24.1185,82.6415,Solar,15
9.8043,78.4487,Solar,5
23.9116,71.9324,Solar,15
27.2081,70.6958,Wind,8.4
23.2414,70.7262,Wind,3.6
22.972,70.5443,Wind,3.6
18.3198,74.3686,Solar,2
23.3232,70.6417,Wind,30
15.2615,76.3379,Hydro,36
20.0116,79.2036,Coal,600
20.0123,79.1863,Coal,33
20.9099,85.2072,Coal,460
21.0966,85.074,Coal,3000
29.924,75.2372,Coal,1980
22.0987,83.4513,Coal,2400
29.0057,80.0946,Hydro,94.2
26.586,82.602,Coal,440
12.9019,74.816,Gas,220
19.8294,72.6617,Nuclear,1400
27.3403,88.2332,Hydro,97
22.5616,77.9635,Hydro,13.5
26.4875,88.3155,Hydro,67.5
27.2517,88.4604,Hydro,510
26.9279,88.4562,Hydro,160
27.0017,88.443,Hydro,132
27.5981,88.6505,Hydro,1200
30.3787,78.4795,Hydro,1000
23.7573,85.8936,Coal,420
18.7026,72.8709,Gas,30
14.2133,80.0838,Coal,300
19.0875,73.0258,Oil,22.5
32.659,76.7817,Hydro,4.5
15.8094,74.1588,Hydro,60
24.3249,85.5198,Hydro,4
21.4129,79.9671,Coal,3300
22.7318,88.371,Coal,240
15.1839,76.6622,Coal,600
15.1839,76.6622,Coal,260
23.0701,72.5933,Coal,422
19.0004,72.8983,Oil,500
19.0018,72.8967,Gas,180
19.0366,72.8892,Gas,18
19.0004,72.8983,Coal,750
19.0004,72.8983,Oil,150
24.3588,92.8837,Hydro,60
15.6609,76.8756,Biomass,28
8.7635,78.1753,Coal,1050
8.7603,78.1699,Coal,1000
8.7635,78.1753,Coal,300
9.9438,77.5077,Wind,9.35
8.9165,77.659,Wind,14.4
17.501,74.7001,Wind,25.5
15.1069,75.1661,Wind,100
21.0866,85.0987,Solar,10
15.3302,75.5767,Wind,50.4
19.1757,74.8441,Wind,50.4
27.4137,72.1577,Solar,22
9.9621,77.3709,Wind,24
14.7053,77.3355,Wind,200
26.5182,72.8536,Solar,5
10.8139,77.3785,Wind,1.5
10.79,77.33,Wind,1.5
22.104,69.8323,Wind,49.6
32.3367,75.5819,Hydro,91.35
27.2614,88.5572,Hydro,8
21.8858,83.1215,Coal,1080
13.1596,74.8002,Coal,1200
18.0723,75.1197,Hydro,12
21.2323,73.5917,Hydro,5
21.2093,73.5574,Coal,1110
21.2478,73.5866,Hydro,300
25.6593,91.9003,Hydro,96
26.0069,91.8114,Hydro,11.2
25.9131,81.3274,Coal,1550
21.3411,72.9895,Gas,382.5
10.838,77.5123,Wind,1.7
19.4269,82.8594,Hydro,600
18.8315,82.5934,Hydro,320
18.0313,82.0179,Hydro,240
34.198,75.1245,Hydro,127.6
18.88,72.9715,Gas,672
18.8681,72.9293,Gas,62.6
34.1442,74.1857,Hydro,480
34.0921,74.0318,Hydro,240
11.3727,76.0584,Hydro,3.75
21.2285,72.8705,Gas,374.571
27.3455,82.3166,Coal,90
10.6143,77.237,Wind,25.7
10.0537,77.5905,Hydro,13.5
19.7674,73.502,Hydro,60
9.3279,78.9215,Gas,52.8
13.2371,80.3023,Coal,1500
9.3484,78.9235,Gas,186.2
13.6576,74.9484,Hydro,460
22.7808,77.6515,Coal,25.8
23.0752,77.5526,Coal,30.75
17.1605,77.293,Coal,50.7
16.9238,81.8141,Gas,388.5
17.7382,75.3218,Biomass,19.8
24.4978,77.1513,Gas,75
16.5984,80.537,Coal,1260
16.5973,80.5382,Coal,500
16.9345,81.7245,Gas,272.3
24.5753,74.8012,Coal,46
